Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.099994	1.981064	1.503860	26.800000	44.400000	
0.099967	1.706029	1.292999	37.866000	52.240000	
0.099917	1.545050	1.160204	44.526000	58.640000	
0.099846	1.413558	1.082565	49.694000	61.880000	
0.099753	1.307275	0.898678	53.726000	69.180000	
0.099637	1.221898	0.902178	56.960000	69.210000	
0.099500	1.163599	0.777218	59.116000	72.900000	
0.099342	1.084876	0.699650	62.126000	76.320000	
0.099161	1.037072	0.670437	63.682000	76.930000	
0.098959	0.991789	0.670234	65.440000	76.880000	
0.098735	0.958308	0.591415	66.700000	79.990000	
0.098490	0.913111	0.572237	68.236000	80.710000	
0.098223	0.887577	0.558715	68.966000	80.980000	
0.097936	0.859241	0.577915	70.038000	80.140000	
0.097627	0.832300	0.516744	71.030000	82.040000	
0.097297	0.802385	0.481709	72.022000	83.600000	
0.096946	0.795044	0.540216	72.426000	82.020000	
0.096575	0.767976	0.418174	73.234000	85.740000	
0.096183	0.743443	0.443434	74.052000	84.820000	
0.095771	0.727890	0.477032	74.734000	83.560000	
0.095339	0.715458	0.440880	75.068000	84.880000	
0.094887	0.692500	0.423442	76.010000	85.690000	
0.094415	0.677778	0.491193	76.512000	83.360000	
0.093923	0.662731	0.371926	77.124000	87.340000	
0.093413	0.658988	0.407528	77.260000	86.200000	
0.092883	0.639204	0.378415	77.754000	86.750000	
0.092334	0.641563	0.373014	77.734000	87.080000	
0.091766	0.625533	0.369587	78.270000	87.540000	
0.091181	0.617417	0.384066	78.586000	86.640000	
0.090577	0.601872	0.411951	79.230000	85.930000	
0.089955	0.594130	0.357856	79.576000	87.730000	
0.089315	0.583936	0.334628	79.674000	88.420000	
0.088659	0.571664	0.407729	80.166000	86.170000	
0.087985	0.570695	0.347998	80.276000	88.230000	
0.087295	0.566293	0.382054	80.284000	87.040000	
0.086588	0.550984	0.332243	80.944000	88.800000	
0.085865	0.544223	0.339447	81.280000	88.960000	
0.085126	0.543711	0.339419	81.116000	88.490000	
0.084372	0.537887	0.324345	81.398000	89.370000	
0.083602	0.525959	0.347763	81.830000	88.060000	
0.082818	0.521715	0.291006	82.108000	89.900000	
0.082020	0.510038	0.301985	82.318000	89.740000	
0.081207	0.512432	0.335909	82.288000	89.260000	
0.080381	0.502257	0.331198	82.660000	88.860000	
0.079541	0.501636	0.326603	82.582000	89.730000	
0.078688	0.493602	0.284837	82.624000	90.260000	
0.077823	0.486558	0.316770	83.250000	89.670000	
0.076945	0.479280	0.348233	83.322000	88.520000	
0.076056	0.480963	0.339210	83.292000	89.020000	
0.075155	0.471538	0.304685	83.716000	90.120000	
0.074243	0.463413	0.342232	83.878000	88.570000	
0.073320	0.466607	0.315299	83.844000	90.100000	
0.072387	0.455624	0.363353	84.360000	87.690000	
0.071444	0.453646	0.279390	84.396000	90.740000	
0.070492	0.448768	0.276703	84.496000	90.970000	
0.069531	0.448059	0.256447	84.528000	91.410000	
0.068561	0.440372	0.277656	84.748000	90.540000	
0.067583	0.431228	0.282018	85.186000	91.030000	
0.066597	0.428246	0.260760	85.238000	91.610000	
0.065604	0.431936	0.272424	84.976000	91.030000	
0.064604	0.419434	0.248622	85.540000	91.650000	
0.063598	0.417408	0.310335	85.462000	90.170000	
0.062585	0.421020	0.269756	85.378000	91.220000	
0.061567	0.406219	0.256309	85.890000	91.900000	
0.060544	0.401122	0.245738	86.170000	92.040000	
0.059517	0.402744	0.260014	86.038000	91.450000	
0.058485	0.390658	0.273019	86.440000	91.510000	
0.057449	0.393433	0.267930	86.468000	91.390000	
0.056410	0.387040	0.235313	86.422000	92.450000	
0.055369	0.387359	0.253197	86.592000	91.830000	
0.054325	0.379722	0.264907	87.008000	91.330000	
0.053279	0.376935	0.235491	87.034000	92.500000	
0.052231	0.368763	0.260056	87.326000	91.770000	
0.051183	0.363376	0.260727	87.530000	91.910000	
0.050134	0.364906	0.284261	87.378000	91.050000	
0.049085	0.359705	0.242566	87.542000	91.970000	
0.048037	0.356527	0.260951	87.730000	92.010000	
0.046989	0.344613	0.256175	88.014000	91.890000	
0.045943	0.346820	0.220320	88.248000	93.030000	
0.044898	0.344185	0.262654	88.134000	91.550000	
0.043856	0.335329	0.233909	88.502000	92.570000	
0.042816	0.334920	0.262257	88.388000	92.440000	
0.041780	0.332430	0.248768	88.494000	92.300000	
0.040747	0.318312	0.277452	89.118000	91.540000	
