Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.099993	3.768465	3.772957	3.525000	2.765727	
0.099964	3.637395	3.683824	4.650000	4.519161	
0.099914	3.610313	3.518750	4.950000	6.724512	
0.099841	3.568417	3.709460	6.225000	4.446855	
0.099747	3.538184	3.528372	6.500000	7.447578	
0.099631	3.512710	3.523186	7.475000	5.802603	
0.099492	3.492086	3.494762	7.525000	8.387563	
0.099333	3.480133	3.530365	8.300000	7.375271	
0.099151	3.482346	3.486910	7.650000	7.971800	
0.098948	3.460938	3.565866	8.150000	8.893709	
0.098723	3.452097	3.467090	8.950000	9.363702	
0.098477	3.417770	3.802605	9.450000	9.634852	
0.098209	3.407912	3.490441	9.400000	8.333333	
0.097921	3.385305	3.399003	10.275000	10.140998	
