Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.099992	0.835822	3.932447	73.137891	66.020260	
0.099963	0.177213	3.895773	94.382915	62.344428	
0.099912	0.091963	4.084818	97.169741	66.512301	
0.099839	0.072317	5.286743	97.654721	66.280753	
0.099744	0.031684	4.454279	99.051754	64.862518	
0.099627	0.022482	4.167373	99.413680	68.422576	
0.099489	0.029616	4.223375	99.160332	66.512301	
0.099328	0.013717	4.626376	99.645313	68.480463	
0.099146	0.031548	4.319625	99.044516	70.303907	
0.098942	0.019903	4.185198	99.522258	68.075253	
0.098717	0.035757	3.713681	98.899746	69.725036	
0.098471	0.018301	3.809025	99.507781	68.625181	
