Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.099994	1.958880	1.503762	28.020000	43.710000	
0.099967	1.681891	1.270138	39.016000	53.820000	
0.099917	1.529979	1.109037	45.290000	60.920000	
0.099846	1.406814	1.049829	50.022000	62.070000	
0.099753	1.308554	0.938279	53.540000	67.550000	
0.099637	1.223508	0.856503	56.774000	70.190000	
0.099500	1.150490	0.880587	59.616000	69.830000	
0.099342	1.099603	0.743058	61.268000	74.270000	
0.099161	1.034931	0.651370	63.476000	77.460000	
0.098959	0.992649	0.666424	65.070000	77.700000	
0.098735	0.961194	0.727652	66.490000	75.020000	
0.098490	0.925663	0.591432	67.644000	79.670000	
0.098223	0.892279	0.564079	68.732000	80.790000	
0.097936	0.872292	0.552448	69.496000	81.520000	
0.097627	0.837638	0.570918	70.868000	80.840000	
0.097297	0.815075	0.548700	71.374000	81.500000	
0.096946	0.789592	0.485742	72.332000	83.090000	
0.096575	0.764932	0.550060	73.250000	82.380000	
0.096183	0.750927	0.487896	73.902000	83.600000	
0.095771	0.730697	0.517322	74.298000	81.980000	
0.095339	0.713803	0.395785	75.126000	86.590000	
0.094887	0.702265	0.579127	75.400000	81.590000	
0.094415	0.690601	0.467672	76.104000	84.470000	
0.093923	0.674331	0.378628	76.572000	86.740000	
0.093413	0.659670	0.435939	77.032000	85.290000	
0.092883	0.657556	0.409311	77.200000	86.070000	
0.092334	0.640508	0.462766	77.712000	84.870000	
0.091766	0.621397	0.417973	78.332000	85.420000	
0.091181	0.617457	0.387332	78.538000	87.030000	
0.090577	0.605431	0.453396	78.922000	85.180000	
0.089955	0.600089	0.336597	79.120000	88.050000	
0.089315	0.585238	0.379505	79.518000	87.460000	
0.088659	0.572720	0.360340	80.180000	88.200000	
0.087985	0.571265	0.331684	80.306000	89.120000	
0.087295	0.564687	0.372397	80.336000	87.690000	
0.086588	0.560125	0.298670	80.566000	89.820000	
0.085865	0.552558	0.314678	80.782000	89.530000	
0.085126	0.541399	0.369888	81.218000	88.140000	
0.084372	0.536182	0.420650	81.308000	86.710000	
0.083602	0.538553	0.364947	81.236000	87.860000	
0.082818	0.524314	0.332957	81.970000	88.230000	
0.082020	0.516532	0.362807	82.114000	87.860000	
0.081207	0.510630	0.339394	82.464000	89.510000	
0.080381	0.508253	0.352436	82.404000	88.650000	
0.079541	0.498524	0.316342	82.724000	89.480000	
0.078688	0.487556	0.300439	83.042000	89.820000	
0.077823	0.494840	0.278540	83.002000	90.850000	
0.076945	0.484063	0.356799	83.168000	88.760000	
0.076056	0.484549	0.315019	83.296000	89.560000	
0.075155	0.469516	0.339457	83.694000	88.710000	
0.074243	0.474581	0.285468	83.550000	90.600000	
0.073320	0.464392	0.268889	83.812000	91.140000	
0.072387	0.459337	0.307865	84.200000	89.940000	
0.071444	0.451517	0.336255	84.446000	89.170000	
0.070492	0.451473	0.333157	84.284000	89.230000	
0.069531	0.439975	0.311899	84.878000	89.870000	
0.068561	0.438174	0.326174	84.794000	89.460000	
0.067583	0.437055	0.261101	84.906000	91.360000	
0.066597	0.433470	0.287716	85.174000	90.830000	
0.065604	0.427612	0.249551	85.162000	91.430000	
0.064604	0.419834	0.273165	85.668000	91.120000	
0.063598	0.423988	0.291794	85.316000	90.350000	
0.062585	0.418958	0.297274	85.538000	90.630000	
0.061567	0.409784	0.284307	85.814000	90.830000	
0.060544	0.405572	0.289919	85.800000	90.300000	
0.059517	0.400757	0.296730	86.342000	90.650000	
0.058485	0.396790	0.361088	86.218000	88.990000	
0.057449	0.390328	0.243014	86.418000	91.850000	
0.056410	0.384368	0.249193	86.824000	91.800000	
0.055369	0.380740	0.235178	86.750000	92.220000	
0.054325	0.381728	0.257529	86.852000	91.450000	
0.053279	0.381244	0.268830	86.730000	91.300000	
0.052231	0.369629	0.257115	87.298000	92.230000	
0.051183	0.367209	0.238935	87.346000	92.240000	
0.050134	0.363090	0.281616	87.528000	91.350000	
0.049085	0.357195	0.253459	87.690000	92.110000	
0.048037	0.354528	0.253251	87.768000	91.910000	
0.046989	0.344741	0.259038	88.130000	92.020000	
0.045943	0.346142	0.243739	87.928000	92.270000	
0.044898	0.338399	0.235020	88.572000	92.590000	
0.043856	0.339245	0.243724	88.300000	92.520000	
0.042816	0.333093	0.211953	88.678000	92.980000	
0.041780	0.332467	0.251230	88.628000	92.300000	
0.040747	0.324989	0.208933	88.800000	93.370000	
0.039718	0.325777	0.234474	88.714000	92.480000	
0.038694	0.314260	0.210123	89.094000	93.350000	
0.037675	0.317054	0.221912	89.162000	93.170000	
0.036661	0.300252	0.234324	89.720000	92.790000	
0.035653	0.307176	0.225843	89.470000	93.270000	
0.034651	0.297942	0.237280	89.714000	92.810000	
0.033656	0.299353	0.210261	89.696000	93.630000	
0.032669	0.285508	0.214429	90.174000	93.370000	
0.031689	0.293817	0.205472	89.872000	93.450000	
0.030717	0.290030	0.241657	90.054000	92.670000	
0.029753	0.280357	0.216511	90.282000	93.640000	
0.028798	0.272222	0.218080	90.564000	93.360000	
0.027853	0.273006	0.193365	90.584000	93.800000	
0.026918	0.270275	0.201647	90.566000	93.710000	
0.025992	0.267969	0.216193	90.746000	93.750000	
0.025077	0.257074	0.212356	90.984000	93.640000	
0.024174	0.257235	0.203055	91.228000	94.070000	
0.023281	0.252083	0.248298	91.272000	93.450000	
0.022400	0.250924	0.209838	91.400000	93.880000	
0.021532	0.242180	0.206957	91.756000	93.850000	
0.020676	0.241607	0.196628	91.632000	94.060000	
0.019833	0.237713	0.197129	91.938000	94.040000	
0.019003	0.234292	0.191491	91.886000	94.130000	
0.018187	0.227264	0.196753	92.170000	94.420000	
0.017385	0.223729	0.183860	92.330000	94.540000	
0.016597	0.221342	0.198699	92.322000	94.050000	
0.015824	0.217734	0.210410	92.494000	94.100000	
0.015065	0.213115	0.186921	92.748000	94.390000	
0.014323	0.206442	0.191361	92.886000	94.500000	
0.013596	0.203157	0.182104	93.042000	94.630000	
0.012885	0.204734	0.189800	92.930000	94.330000	
0.012190	0.197318	0.180951	93.164000	94.730000	
0.011512	0.192877	0.173614	93.452000	94.800000	
0.010851	0.183327	0.172287	93.660000	94.940000	
0.010207	0.192190	0.172940	93.402000	95.020000	
0.009581	0.185693	0.170798	93.608000	94.840000	
0.008972	0.178766	0.171792	93.772000	95.080000	
0.008382	0.172867	0.163833	94.062000	94.840000	
0.007809	0.175894	0.171552	94.026000	95.250000	
0.007256	0.171236	0.163501	94.136000	95.050000	
0.006721	0.166616	0.165893	94.346000	95.170000	
0.006205	0.163445	0.163157	94.528000	95.070000	
0.005709	0.162228	0.165214	94.602000	95.170000	
0.005232	0.161031	0.162180	94.468000	95.210000	
0.004775	0.154616	0.164212	94.726000	95.120000	
0.004337	0.154128	0.154939	94.700000	95.280000	
0.003920	0.150388	0.154132	94.880000	95.610000	
0.003523	0.150565	0.150189	94.900000	95.500000	
0.003147	0.144558	0.151768	95.060000	95.490000	
0.002791	0.146795	0.149240	95.128000	95.490000	
0.002455	0.146890	0.155703	94.912000	95.390000	
0.002141	0.139051	0.155486	95.244000	95.550000	
0.001848	0.140163	0.150594	95.216000	95.570000	
0.001576	0.136884	0.151102	95.364000	95.600000	
0.001326	0.135320	0.150798	95.424000	95.610000	
0.001096	0.136556	0.151327	95.320000	95.430000	
0.000889	0.136943	0.148880	95.302000	95.480000	
0.000703	0.137693	0.148184	95.254000	95.640000	
0.000538	0.132156	0.149498	95.538000	95.530000	
0.000396	0.128960	0.147847	95.608000	95.660000	
0.000275	0.131694	0.145269	95.524000	95.700000	
0.000176	0.129918	0.146687	95.558000	95.610000	
0.000099	0.131930	0.148605	95.516000	95.590000	
0.000044	0.132061	0.145943	95.434000	95.630000	
0.000011	0.132742	0.146828	95.468000	95.570000	
0.000000	0.132912	0.146147	95.360000	95.710000	
